index,Show_ID,Date_Added,Country,Director,Duration,Listed_In,Rating,Release_Year,Title,Type,Budget,Sales,Profit,Continent,Profitable?
1889,1000,2021-09-25,United States,Kirsten Johnson,90 min,Documentaries,PG-13,2020,Dick Johnson Is Dead,Movie,4123396,6476362,2352966,North America,Yes
5353,1001,2021-09-24,United States,Theodore Melfi,104 min,"Comedies, Dramas",PG-13,2021,The Starling,Movie,2555686,6237711,3682025,North America,Yes
714,1002,2021-09-07,France,Not Given,1 Season,"TV Comedies, TV Dramas",TV-MA,2021,On the Verge,TV Show,4833545,1391793,-3441752,Europe,No
2943,1003,2021-04-22,Germany,Joe Penna,116 min,"Dramas, International Movies, Thrillers",TV-MA,2021,Stowaway,Movie,3638346,2693288,-945058,Europe,No
1143,1004,2021-04-22,India,Ahishor Solomon,126 min,"Action & Adventure, International Movies",TV-MA,2020,Wild Dog,Movie,4536509,2771786,-1764723,Asia,No
3346,1005,2021-04-21,Canada,Curtis Graham,86 min,"Dramas, International Movies, Thrillers",TV-14,2015,Oloibiri,Movie,3456823,3944668,487845,North America,Yes
2078,1006,2021-04-21,Mexico,Gerardo Gatica,97 min,"Comedies, International Movies",TV-MA,2021,Tell Me When,Movie,4028399,2689491,-1338908,North America,No
6182,1007,2021-04-21,Italy,Not Given,1 Season,"International TV Shows, TV Comedies, TV Dramas",TV-MA,2021,Zero,TV Show,2172103,1378828,-793275,Europe,No
6398,1008,2021-04-20,Australia,Not Given,2 Seasons,Kids' TV,TV-Y,2021,Izzy's Koala World,TV Show,2064487,896855,-1167632,Oceania,No
5348,1009,2021-04-20,Pakistan,Not Given,76 min,"Children & Family Movies, Comedies",TV-Y,2013,Keymon and Nani in Space Adventure,Movie,2560004,5766788,3206784,Asia,Yes
6579,1010,2021-04-20,India,Suhas Kadav,80 min,"Children & Family Movies, Comedies",TV-Y7,2018,Motu Patlu Dino Invasion,Movie,1987753,2386224,398471,Asia,Yes
2932,1011,2021-04-20,India,Suhas Kadav,81 min,"Children & Family Movies, Comedies",TV-Y,2017,Motu Patlu in Octupus World,Movie,3644750,2439352,-1205398,Asia,No
2499,1012,2021-04-20,India,Suhas Kadav,84 min,Children & Family Movies,TV-Y,2019,Motu Patlu VS Robo Kids,Movie,3842072,2432751,-1409321,Asia,No
